date,count
2013-09-10,289
2013-09-11,616
2013-09-12,409
2013-09-13,346
2013-09-14,858
2013-09-15,592
2013-09-16,527
2013-09-17,548
2013-09-18,802
2013-09-19,629
2013-09-20,184
2013-09-21,482
2013-09-22,305
2013-09-23,570
2013-09-24,578
2013-09-25,592
2013-09-26,370
2013-09-27,270
2013-09-28,494
2013-09-29,212
2013-09-30,272
2013-10-01,453
2013-10-02,250
2013-10-03,499
2013-10-04,1441
2013-10-05,638
2013-10-06,404
2013-10-07,514
2013-10-08,572
2013-10-09,480
2013-10-10,794
2013-10-11,439
2013-10-12,437
2013-10-13,792
2013-10-14,351
2013-10-15,918
2013-10-16,559
2013-10-17,656
2013-10-18,390
2013-10-19,818
2013-10-20,832
2013-10-21,30
2013-10-22,860
2013-10-23,451
2013-10-24,550
2013-10-25,991
2013-10-26,637
2013-10-27,171
2013-10-28,707
2013-10-29,521
2013-10-30,436
2013-10-31,495
2013-11-01,830
2013-11-02,265
2013-11-03,869
2013-11-04,487
2013-11-05,470
2013-11-06,336
2013-11-07,737
2013-11-08,1005
2013-11-09,925
2013-11-10,448
2013-11-11,1068
2013-11-12,758
2013-11-13,444
2013-11-14,441
2013-11-15,668
2013-11-16,574
2013-11-17,719
2013-11-18,843
2013-11-19,585
2013-11-20,503
2013-11-21,411
2013-11-22,621
2013-11-23,560
2013-11-24,618
2013-11-25,607
2013-11-26,306
2013-11-27,766
2013-11-28,1000
2013-11-29,322
2013-11-30,953
2013-12-01,709
2013-12-02,792
2013-12-03,640
2013-12-04,522
2013-12-05,201
2013-12-06,322
2013-12-07,752
2013-12-08,739
