STATION,STATION_NAME,DATE,TSNW,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20100101,264,0,0,73,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20100201,250,0,0,65,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20100301,10,0,0,171,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20100401,0,0,0,244,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20100501,0,0,0,271,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20100601,0,0,0,334,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20100701,0,0,0,349,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20100801,0,0,0,321,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20100901,0,0,0,303,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20101001,0,0,0,225,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20101101,0,0,0,161,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20101201,204,0,0,52,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20110101,69,0,0,60,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20110201,3,0,0,136,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20110301,0,0,0,149,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20110401,0,0,0,231,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20110501,0,0,0,267,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20110601,0,0,0,316,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20110701,0,0,0,338,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20110801,0,0,0,319,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20110901,0,0,0,270,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20111001,0,0,0,207,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20111101,0,0,0,183,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20111201,0,0,0,139,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20120101,0,0,0,119,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20120201,102,0,0,133,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20120301,13,0,0,210,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20120401,0,0,0,213,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20120501,0,0,0,271,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20120601,0,0,0,299,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20120701,0,0,0,337,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20120801,0,0,0,306,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20120901,0,0,0,270,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20121001,0,0,0,213,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20121101,0,0,0,141,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20121201,0,0,0,136,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20130101,82,0,0,102,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20130201,0,0,0,98,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20130301,138,0,0,120,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20130401,0,0,0,219,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20130501,0,0,0,253,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20130601,0,0,0,302,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20130701,0,0,0,316,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20130801,0,0,0,292,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20130901,0,0,0,276,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20131001,0,0,0,223,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20131101,0,0,0,151,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20131201,0,0,0,120,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20140101,130,0,0,70,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20140201,147,0,0,98,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20140301,91,0,0,135,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20140401,0,0,0,219,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20140501,0,0,0,273,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20140601,0,0,0,307,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20140701,0,0,0,321,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20140801,0,0,0,297,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20140901,0,0,0,277,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20141001,0,1,1,232,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20141101,0,0,0,144,0,0
GHCND:USW00013740,RICHMOND INTERNATIONAL AIRPORT VA US,20141201,0,0,0,116,0,0
